camera_id,location_name,latitude,longitude,status,installation_date
CAM-049,South Street Seaport,40.7060,-74.0037,Active,2024-07-22
CAM-050,Tribeca Park Area,40.7163,-74.0086,Active,2024-08-30
CAM-051,East Village Intersection,40.7277,-73.9802,Maintenance,2024-09-15
CAM-052,Lower East Side Cultural Center,40.7167,-73.9818,Active,2024-10-20
CAM-053,Tompkins Square Park,40.7302,-73.9773,Active,2024-11-10
CAM-054,Nolita Shopping District,40.7197,-74.0002,Inactive,2024-12-05
CAM-055,West Village Pier,40.7381,-74.0074,Active,2025-01-12
CAM-056,Christopher Street Station,40.7369,-74.0023,Maintenance,2025-01-28
CAM-057,Hudson River Greenway Mile 3,40.7521,-74.0119,Active,2025-02-10
CAM-058,Chelsea Market,40.7481,-74.0016,Active,2025-02-25
CAM-059,Madison Square Garden,40.7505,-73.9934,Active,2025-03-15
CAM-060,Grand Central Vanderbilt Hall,40.7527,-73.9746,Active,2025-04-05
CAM-061,Park Avenue At 42nd,40.7548,-73.9710,Maintenance,2025-04-20
CAM-062,Lexington Avenue Line Platform,40.7614,-73.9776,Active,2025-05-08
CAM-063,1st Avenue Bus Terminal,40.7528,-73.9760,Active,2025-05-25
CAM-064,Avenue of Americas,40.7495,-73.9860,Inactive,2025-06-10
CAM-065,Penn Plaza Concourse,40.7505,-73.9945,Active,2025-06-28
CAM-066,Madison Avenue Shopping,40.7650,-73.9743,Active,2025-07-15
CAM-067,Rockefeller Center Plaza,40.7549,-73.9780,Active,2025-08-02
CAM-068,St Patrick's Cathedral,40.7585,-73.9756,Maintenance,2025-08-20
CAM-069,Park Avenue South,40.7410,-73.9889,Active,2025-09-05
CAM-070,Stuyvesant Square,40.7355,-73.9809,Active,2025-09-22
CAM-071,Williamsburg Bridge Plaza,40.7109,-73.9561,Active,2020-05-10
CAM-072,McCarren Park,40.7089,-73.9566,Maintenance,2020-08-15
CAM-073,Greenpoint Landing,40.7225,-73.9516,Active,2021-04-22
CAM-074,Astoria Park,40.7691,-73.9262,Active,2021-12-08
CAM-075,Ditmars Boulevard Station,40.7738,-73.9369,Active,2022-03-15
CAM-076,Long Island City Waterfront,40.7497,-73.9483,Inactive,2022-09-20
CAM-077,Gantry Plaza State Park,40.7482,-73.9483,Active,2023-01-10
CAM-078,Court Square,40.7447,-73.9485,Active,2023-08-05
CAM-079,Forest Hills Gardens,40.7161,-73.8413,Maintenance,2023-10-18
CAM-080,Kew Gardens Station,40.7070,-73.8256,Active,2023-11-25
CAM-081,Jamaica Station,40.7018,-73.8081,Active,2024-02-28
CAM-082,Rockaway Beach,40.5754,-73.8192,Active,2024-05-12
CAM-083,Myrtle Avenue Station,40.6870,-73.9276,Active,2024-07-30
CAM-084,Cypress Hills Cemetery,40.6704,-73.8943,Maintenance,2024-09-22
CAM-085,Highland Park Summit,40.6586,-73.8746,Active,2024-11-05
CAM-086,Sunset Park Waterfront,40.6347,-74.0089,Active,2025-01-18
CAM-087,Green Wood Cemetery,40.6417,-74.0211,Inactive,2025-03-10
CAM-088,Park Slope Prospect Park,40.6610,-73.9750,Active,2025-04-25
CAM-089,Brooklyn Heights Promenade,40.6942,-73.9901,Active,2020-02-14
CAM-090,Fulton Ferry Landing,40.7027,-73.9887,Active,2020-10-22
CAM-091,Jane's Carousel,40.7068,-74.0033,Maintenance,2021-06-30
CAM-092,Concourse Plaza,40.8241,-73.9251,Active,2022-02-27
CAM-093,Grand Concourse Station,40.8198,-73.9258,Active,2022-11-08
CAM-094,Fordham Road Station,40.8619,-73.8979,Active,2023-03-20
CAM-095,New York Botanical Garden,40.8648,-73.8822,Inactive,2023-07-14
CAM-096,Pelham Parkway,40.8508,-73.8614,Maintenance,2023-12-12
CAM-097,Staten Island Greenbelt,40.5826,-74.1505,Active,2024-04-06
CAM-098,Tompkinsville Park,40.6420,-74.0753,Active,2024-08-15
CAM-099,Tottenville Ferry Pier,40.5555,-74.2452,Active,2025-02-19
CAM-100,Fresh Kills Park Overlook,40.5754,-74.1697,Maintenance,2025-05-10
